status,row,qid,option_code,條件,互斥,reason,bracket,source
appended,590,O1_1,1,vA9 in 1,vO1_1 in 1,,"A9答(01)者,選項互斥","□ (01) 是,日間部【A9答(01)者,選項互斥】"
appended,591,O1_1,2,vA9 in 1,vO1_1 in 2,,"A9答(01)者,選項互斥","□ (02) 是,夜間部/進修部 【A9答(01)者,選項互斥】"
appended,592,O1_1,3,vA9 in 1,vO1_1 in 3,,"A9答(01)者,選項互斥","□ (03) 是,在職專班【A9答(01)者,選項互斥】"
appended,593,O1_1,4,vA9 in 1,vO1_1 in 4,,"A9答(01)者,選項互斥","□ (04) 是,空中大學【A9答(01)者,選項互斥】"
appended,594,E17,1,vD1 in 3,vE17 in 1,,與D1答(03)互斥,□ (01)手機【與D1答(03)互斥】
appended,595,E18,1,vD1 in 3,vE18 in 1,,與D1答(03)互斥,□ (01)手機【與D1答(03)互斥】
appended,596,E2,1,vD1 in 3,vE2m01 in 1,,與D1答(03)互斥,□ (01)手機【與D1答(03)互斥】
appended,597,G7,1,vK2m90 in 1,vG7m01 in 1,,與K2答(90)者互斥,□ (01)社群媒體(例如:臉書、Threads、X)【與K2答(90)者互斥】
appended,598,G7,2,vK1m90 in 1,vG7m02 in 1,,與K1答(90)者互斥,□ (02)即時通訊軟體(例如:LINE Today、WeChat微信)【與K1答(90)者互斥】
appended,599,B8,1,vB5 in 0,vB8m01 in 1,,"B5答0者,與此選項互斥","□ (01)新聞類(例如:社會新聞、即時新聞、氣象、體育新聞、國際新聞、政治新聞、交通資訊、專題報導)【B5答0者,與此選項互斥】【資料處理:B5答0.5~7天,選項(01)必選】"
appended,600,F0,2,vE1 in 2 | vE1 in 97 | vE1 in 98,vF0 in 2,,"E1答(02)、(97)、(98)者,選項互斥","□ (02)網路雜誌【E1答(02)、(97)、(98)者,選項互斥】"
appended,601,F0,89,vE1 in 2 | vE1 in 97 | vE1 in 98,vF0 in 89,,"E1答(02)、(97)、(98)者,選項互斥","□ (89)都有看【E1答(02)、(97)、(98)者,選項互斥】"
appended,602,Q3,1,vC3m08 in 1,vQ3 in 1,,"C3答(08)者,選項互斥","□(01) 從來沒有【C3答(08)者,選項互斥】"
appended,603,Q4,1,vB8m08 in 1,vQ4 in 1,,"B8答(08)者,選項互斥","□(01) 從來沒有【B8答(08)者,選項互斥】"
appended,604,Q20,1,vB1 in 0 & vB3 in 0 & vE1 in 2,vQ20m01 in 1,,"B1答0,且B3答0,且E1答(02)者,與選項(01)互斥","□(01)談話性政論節目(不論是從電視或YouTube上觀看都算)【B1答0,且B3答0,且E1答(02)者,與選項(01)互斥】"
appended,605,Q20,2,vE1 in 2,vQ20m02 in 1,,"E1答(02)者,與選項(02)互斥","□(02)政治人物(是指透過他們YouTube頻道、臉書粉專、IG帳號上的貼文、直播和預錄影片)【E1答(02)者,與選項(02)互斥】"
appended,606,Q20,3,vE1 in 2,vQ20m03 in 1,,"E1答(02)者,與選項(03)互斥","□(03)網紅或公眾人物影片(是指從他們YouTube頻道、臉書粉專、IG帳號、直播與直播結束後的留存影片都算)【E1答(02)者,與選項(03)互斥】"
appended,607,Q20,4,vE1 in 2,vQ20m04 in 1,,"E1答(02)者,與選項(04)互斥","□(04)播客(Podcast)的節目【E1答(02)者,與選項(04)互斥】"
appended,608,Q20,5,vE1 in 2,vQ20m05 in 1,,"E1答(02)者,與選項(05)互斥","□(05)論壇的文章或留言(例如:PTT或Dcard)【E1答(02)者,與選項(05)互斥】"
appended,609,ZE2,1,vD1 in 3,vZE2m02 in 1,,"D1答(03)者,與選項(02)互斥","(01) 願意,提供手機號碼【D1答(03)者,與選項(02)互斥】【續答ZE2_2】"
review,,ZA0,2,,,cannot parse mutex target,與ZA0_1選項互斥,"(02)否,拒絕錄音(請停止訪問並點選02後,在下一題點選中止代碼201,並填寫拒訪原因)【與ZA0_1選項互斥】"
review,,ZA0_1,2,,,cannot parse mutex target,與SFO選項01互斥,"(02)戶抽人數不正確,請重抽〈請停止訪問並點選02後,在下一題點選中止代碼609,並到戶中抽樣視窗重新進行抽樣〉【與SFO選項01互斥】"
review,,N38,5,,,current option variable not found,E1答(02)者選項互斥,□(05)57 爆新聞 □(16)庶民大頭家(哈遠儀) □(27)大新聞大爆卦(馬千惠)* 【E1答(02)者選項互斥】
review,,N38,6,,,current option variable not found,E1答(02)者選項互斥,□(06)新台灣加油(許貴雅) □(17) 94 要客訴 □(28)頭條開講(周玉琴)* 【E1答(02)者選項互斥】
review,,N38,7,,,current option variable not found,E1答(02)者選項互斥,□(07)環球大戰線 □(18) 狠狠抖內幕 □(29)國際直球對決(林嘉源)* 【E1答(02)者選項互斥】
review,,N38,8,,,current option variable not found,E1答(02)者選項互斥,□(08)突發琪想(安幼琪) □(19)新聞大白話(錢怡君、翟翾) □(30)前進戰略高地(許甫)* 【E1答(02)者選項互斥】
review,,N38,9,,,current option variable not found,E1答(02)者選項互斥,□(09)辣晚報 □(20) 全球大視野 □(31)週末大爆卦(李珮瑄)* 【E1答(02)者選項互斥】
